"ResponseId","demo_role","demo_gender","demo_age","demo_domain","demo_year_study","demo_ai_know","ml_dl_famil","aware_dom","ai_courses","aware_everyday","used_ai","att_pos_1","att_pos_2","att_pos_3","att_pos_4","att_neg_1","att_neg_2","att_neg_3","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","f_aifm_energy","f_aifm_importance","f_aifm_impact","f_aifm_necessity","f_aifm_key_roles","fcf_studyPlace","fcf_aePlace","fcf_techSAT","fcf_rmatSAT","fcf_cleanSAT","fcf_atmpSAT","fcf_techAGT","fcf_amentNOM","fcf_topics"
"R_TbmGFDfG96K0KL7","2","1","7","8","1,8","4","4","5","2","4","5","4","3","4","4","1","4","1","5","5","4","5","4","4","5","14","13","7","1,2,3,4,5","5","6","4","4","4","4","5","4","1,2,3"
"R_C9YR9vjv4e7pcJ3","2","2","3","8","1,6,7,8","3","2","2","3","4","5","5","4","4","5","4","3","4","4","4","4","4","5","5","5","15","12","10","1,2,3,4,5","5","7","2","4","1","4","5","1","1,2,3"
"R_1dABawV98qHwInP","1","1","2","8","8","4","4","4","1","4","4","4","4","4","4","4","3","2","4","4","4","3","4","4","4","13","13","8","1,2,3,4","1","1","4","4","5","5","4","2","1"
"R_2cwQOKKZJwIUHXP","1","2","2","8","1","3","2","2","1","4","2","2","1","2","2","3","2","3","2","1","2","4","2","2","3","12","11","6","1,3","5","1","5","5","5","3","2","5","1"
"R_ZlZvk5H5Pl6Uz73","1","1","2","8","8","3","4","4","2","4","5","4","5","3","5","2","5","4","2","3","4","2","3","4","5","14","13","9","1,2,3,4","3","6","4","4","4","4","4","3","2"
"R_2DZH4nQGU6bZo2K","1","2","2","8","6","3","2","4","2","4","4","5","4","4","4","4","3","3","2","4","2","2","4","4","4","14","13","9","2,3,4","3","4","5","4","5","5","4","3","2"
"R_3fN9kNRLFVsrwL7","1","2","2","8","8","3","4","2","1","4","1","5","4","2","4","3","4","2","4","3","4","4","5","4","4","14","13","10","2,3","2","1","3","4","5","4","4","4","1,2"
"R_aaEI3AAEoWDHI41","1","2","2","8","6","4","2","4","4","4","2","4","4","4","4","2","4","4","4","4","4","4","4","1","5","14","13","9","3","2","5","4","2","3","4","4","4","1,2"
"R_1MS42UCLOBzFnUw","1","1","2","8","8","3","4","4","4","4","4","5","4","3","4","4","4","1","2","4","4","2","4","4","4","14","13","10","1,2,3,4","1","5","3","3","5","5","4","3","2"
"R_1ILWAX5b5COsm9H","1","2","2","8","8","4","1","4","1","4","4","4","1","4","4","3","3","2","2","1","4","4","4","3","4","13","13","7","1,2","1","6","4","4","5","4","4","3","2"
