"demo_role","demo_gender","demo_age","demo_domain","demo_year_study","demo_ai_know","f_aifm_energy","f_aifm_importance","f_aifm_impact","f_aifm_necessity","f_aifm_key_roles","fcf_studyPlace","fcf_aePlace","fcf_techSAT","fcf_rmatSAT","fcf_cleanSAT","fcf_atmpSAT","fcf_techAGT","fcf_amentNOM","fcf_topics"
"2","1","7","8","1,8","4","5","14","13","7","1,2,3,4,5","5","6","4","4","4","4","5","4","1,2,3"
"2","2","3","8","1,6,7,8","3","5","15","12","10","1,2,3,4,5","5","7","2","4","1","4","5","1","1,2,3"
"1","1","2","8","8","4","4","13","13","8","1,2,3,4","1","1","4","4","5","5","4","2","1"
"1","2","2","8","1","3","3","12","11","6","1,3","5","1","5","5","5","3","2","5","1"
"1","1","2","8","8","3","4","13","13","9","1,2,3,4","1","5","3","4","5","5","5","4","2"
"1","1","2","8","8","3","5","14","13","9","1,2,3,4","3","6","4","4","4","4","4","3","2"
"1","2","2","8","6","3","4","14","13","9","2,3,4","3","4","5","4","5","5","4","3","2"
"1","2","2","8","8","3","4","14","13","10","2,3","2","1","3","4","5","4","4","4","1,2"
"1","1","2","8","8","4","3","12","13","9","1,2,3","4","7","4","4","4","5","4","2","2"
"1","2","2","8","1","3","4","13","13","9","2,3","1","1","4","3","4","5","3","3","1,2,3"
"1","1","2","8","8","4","5","14","13","10","1,2,3,4,5","3","6","3","4","5","5","5","4","1,2,3"
"1","2","2","8","1","4","4","12","12","7","2,4","3","1","5","4","5","5","4","3","3"
"1","2","2","8","1","2","4","13","13","8","1,2,4","2","6","4","4","4","4","3","4","3"
"1","2","2","8","6","4","5","14","13","9","3","2","5","4","2","3","4","4","4","1,2"
"1","2","2","8","1","2","4","15","13","9","3,4","5","1","5","5","4","4","4","3","1,2,3"
"1","2","2","8","8","4","4","12","11","6","2,4","2","6","3","3","5","5","3","4","2"
"1","1","2","8","8","3","4","14","13","10","1,2,3,4","1","5","3","3","5","5","4","3","2"
"1","2","3","8","7","4","5","15","14","10","1,2,3,4","3","6","2","4","3","4","5","4","3"
"1","2","2","8","1","2","4","13","13","8","2","3","1","4","4","4","4","4","3","2"
"1","2","2","8","8","4","4","13","13","7","1,2","1","6","4","4","5","4","4","3","2"
"1","2","2","8","1","1","4","14","13","8","2","3","7","4","3","4","4","3","4","2"
"1","2","2","8","8","3","4","13","13","10","2,3","2","6","4","4","4","5","4","2","2"
